name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,lat,long
Alabama Agricultural and Mechanical University,Alabama,AL,Public,4 Year,8379,9698,18077,17918,26297,32.318231,-86.902298
Alabama Southern Community College,Alabama,AL,Public,2 Year,NA,4440,4440,8880,8880,32.318231,-86.902298
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818,32.318231,-86.902298
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900,32.318231,-86.902298
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870,32.318231,-86.902298
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856,32.318231,-86.902298
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028,32.318231,-86.902298
Bevill State Community College,Alabama,AL,Public,2 Year,1300,4770,6070,8640,9940,32.318231,-86.902298
Birmingham-Southern College,Alabama,AL,Private,4 Year,12350,17650,30000,17650,30000,32.318231,-86.902298
Bishop State Community College,Alabama,AL,Public,2 Year,NA,4740,4740,8610,8610,32.318231,-86.902298
Calhoun Community College,Alabama,AL,Public,2 Year,NA,4840,4840,8690,8690,32.318231,-86.902298
Central Alabama Community College,Alabama,AL,Public,2 Year,NA,4740,4740,8610,8610,32.318231,-86.902298
Chattahoochee Valley Community College,Alabama,AL,Public,2 Year,NA,4560,4560,8670,8670,32.318231,-86.902298
Coastal Alabama Community College,Alabama,AL,Public,2 Year,5800,4740,10540,8610,14410,32.318231,-86.902298
Columbia Southern University,Alabama,AL,For Profit,4 Year,NA,6785,6785,6785,6785,32.318231,-86.902298
Concordia College,Alabama,AL,Private,4 Year,5700,10120,15820,10120,15820,32.318231,-86.902298
Enterprise State Community College,Alabama,AL,Public,2 Year,NA,4500,4500,8130,8130,32.318231,-86.902298
Faulkner University,Alabama,AL,Private,4 Year,7750,21690,29440,21690,29440,32.318231,-86.902298
Gadsden State Community College,Alabama,AL,Public,2 Year,3600,4800,8400,8430,12030,32.318231,-86.902298
George C. Wallace Community College at Dothan,Alabama,AL,Public,2 Year,NA,4680,4680,8550,8550,32.318231,-86.902298
George C. Wallace State Community College at Selma,Alabama,AL,Public,2 Year,NA,4440,4440,4440,4440,32.318231,-86.902298
Heritage Christian University,Alabama,AL,Private,4 Year,5745,12312,18057,12312,18057,32.318231,-86.902298
Huntingdon College,Alabama,AL,Private,4 Year,9750,27400,37150,27400,37150,32.318231,-86.902298
Huntsville Bible College,Alabama,AL,Private,4 Year,NA,5390,5390,5390,5390,32.318231,-86.902298
Jacksonville State University,Alabama,AL,Public,4 Year,8100,10425,18525,20145,28245,32.318231,-86.902298
Jefferson State Community College,Alabama,AL,Public,2 Year,NA,4800,4800,8370,8370,32.318231,-86.902298
Judson College,Alabama,AL,Private,4 Year,10590,18510,29100,18510,29100,32.318231,-86.902298
Lawson State Community College,Alabama,AL,Public,2 Year,4760,4760,9520,8660,13420,32.318231,-86.902298
Lurleen B. Wallace Community College,Alabama,AL,Public,2 Year,NA,4740,4740,8610,8610,32.318231,-86.902298
Marion Military Institute,Alabama,AL,Public,2 Year,4950,9418,14368,15418,20368,32.318231,-86.902298
Miles College,Alabama,AL,Private,4 Year,7042,11604,18646,11604,18646,32.318231,-86.902298
Northeast Alabama Community College,Alabama,AL,Public,2 Year,NA,4740,4740,8610,8610,32.318231,-86.902298
Northwest-Shoals Community College,Alabama,AL,Public,2 Year,NA,4695,4695,8565,8565,32.318231,-86.902298
Oakwood University,Alabama,AL,Private,4 Year,9312,16720,26032,16720,26032,32.318231,-86.902298
Samford University,Alabama,AL,Private,4 Year,10550,31650,42200,31650,42200,32.318231,-86.902298
Selma University,Alabama,AL,Private,4 Year,6400,7885,14285,7885,14285,32.318231,-86.902298
Shelton State Community College,Alabama,AL,Public,2 Year,NA,4467,4467,8337,8337,32.318231,-86.902298
Snead State Community College,Alabama,AL,Public,2 Year,3611,4800,8411,8670,12281,32.318231,-86.902298
Southern Union State Community College,Alabama,AL,Public,2 Year,NA,4440,4440,8310,8310,32.318231,-86.902298
Spring Hill College,Alabama,AL,Private,4 Year,13462,39464,52926,39464,52926,32.318231,-86.902298
Stillman College,Alabama,AL,Private,4 Year,7394,10938,18332,10938,18332,32.318231,-86.902298
Talladega College,Alabama,AL,Private,4 Year,6704,12510,19214,12510,19214,32.318231,-86.902298
Troy University,Alabama,AL,Public,4 Year,8185,12460,20645,22875,31060,32.318231,-86.902298
Tuskegee University,Alabama,AL,Private,4 Year,9650,22170,31820,22170,31820,32.318231,-86.902298
United States Sports Academy,Alabama,AL,Private,4 Year,NA,12210,12210,12210,12210,32.318231,-86.902298
University of Alabama,Alabama,AL,Public,4 Year,10102,10780,20882,29230,39332,32.318231,-86.902298
University of Alabama at Birmingham,Alabama,AL,Public,4 Year,6400,10710,17110,24630,31030,32.318231,-86.902298
University of Alabama in Huntsville,Alabama,AL,Public,4 Year,10094,10714,20808,22362,32456,32.318231,-86.902298
University of Mobile,Alabama,AL,Private,4 Year,9600,22820,32420,22820,32420,32.318231,-86.902298
University of Montevallo,Alabama,AL,Public,4 Year,9330,12760,22090,25780,35110,32.318231,-86.902298
University of North Alabama,Alabama,AL,Public,4 Year,9200,10370,19570,18680,27880,32.318231,-86.902298
University of South Alabama,Alabama,AL,Public,4 Year,7620,9870,17490,19740,27360,32.318231,-86.902298
University of West Alabama,Alabama,AL,Public,4 Year,8116,10040,18156,18490,26606,32.318231,-86.902298
Wallace State Community College at Hanceville,Alabama,AL,Public,2 Year,4600,4740,9340,8610,13210,32.318231,-86.902298
Alaska Bible College,Alaska,AK,Private,4 Year,5700,9300,15000,9300,15000,63.588753,-154.493062
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130,63.588753,-154.493062
Ilisagvik College,Alaska,AK,Public,2 Year,13000,4300,17300,4300,17300,63.588753,-154.493062
University of Alaska Anchorage,Alaska,AK,Public,4 Year,12200,7688,19888,23858,36058,63.588753,-154.493062
University of Alaska Fairbanks,Alaska,AK,Public,4 Year,8930,8087,17017,24257,33187,63.588753,-154.493062
University of Alaska Southeast,Alaska,AK,Public,4 Year,9200,7092,16292,19404,28604,63.588753,-154.493062
American Indian College of the Assemblies of God,Arizona,AZ,Private,4 Year,6250,958,7208,958,7208,34.048928,-111.093731
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470,34.048928,-111.093731
Arizona State University,Arizona,AZ,Public,4 Year,12648,10822,23470,28336,40984,34.048928,-111.093731
Arizona Western College,Arizona,AZ,Public,2 Year,6700,2520,9220,9510,16210,34.048928,-111.093731
Art Institute of Phoenix,Arizona,AZ,For Profit,4 Year,10928,21645,32573,21645,32573,34.048928,-111.093731
Central Arizona College,Arizona,AZ,Public,2 Year,7700,2580,10280,11100,18800,34.048928,-111.093731
Chandler-Gilbert Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
Cochise College,Arizona,AZ,Public,2 Year,7272,2550,9822,7800,15072,34.048928,-111.093731
Coconino County Community College,Arizona,AZ,Public,2 Year,NA,3480,3480,11655,11655,34.048928,-111.093731
Dine College,Arizona,AZ,Public,2 Year,4610,1410,6020,1410,6020,34.048928,-111.093731
Eastern Arizona College,Arizona,AZ,Public,2 Year,6790,2700,9490,8700,15490,34.048928,-111.093731
Embry-Riddle Aeronautical University: Prescott Campus,Arizona,AZ,Private,4 Year,11394,35654,47048,35654,47048,34.048928,-111.093731
Estrella Mountain Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
GateWay Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
Glendale Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9840,9840,34.048928,-111.093731
Grand Canyon University,Arizona,AZ,For Profit,4 Year,10100,27090,37190,27090,37190,34.048928,-111.093731
International Baptist College,Arizona,AZ,Private,4 Year,6200,11250,17450,11250,17450,34.048928,-111.093731
Mesa Community College,Arizona,AZ,Public,2 Year,NA,2565,2565,9795,9795,34.048928,-111.093731
Mohave Community College,Arizona,AZ,Public,2 Year,NA,2640,2640,8715,8715,34.048928,-111.093731
National Paralegal College,Arizona,AZ,For Profit,4 Year,NA,7995,7995,7995,7995,34.048928,-111.093731
Northern Arizona University,Arizona,AZ,Public,4 Year,10282,11564,21846,25828,36110,34.048928,-111.093731
Northland Pioneer College,Arizona,AZ,Public,2 Year,NA,2310,2310,10740,10740,34.048928,-111.093731
Paradise Valley Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
Phoenix College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
Pima Community College,Arizona,AZ,Public,2 Year,NA,2670,2670,9315,9315,34.048928,-111.093731
Prescott College,Arizona,AZ,Private,4 Year,7700,31485,39185,31485,39185,34.048928,-111.093731
Refrigeration School,Arizona,AZ,For Profit,2 Year,NA,21615,21615,21615,21615,34.048928,-111.093731
Rio Salado College,Arizona,AZ,Public,2 Year,7584,1898,9482,6222,13806,34.048928,-111.093731
Scottsdale Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,12330,12330,34.048928,-111.093731
